ID,TS_NS,LAT_NS
0,1771565294040796725,107991
1,1771565294040799462,2227
2,1771565294040800509,988
3,1771565294040806216,5651
4,1771565294040807394,1105
5,1771565294040808609,1157
6,1771565294040812465,3802
7,1771565294040813553,1015
8,1771565294040817235,3625
9,1771565294040818367,1056
10,1771565294040819406,981
11,1771565294040823174,3714
12,1771565294040824277,1032
13,1771565294040825271,938
14,1771565294040829022,3697
15,1771565294040830139,1041
16,1771565294040833751,3551
17,1771565294040834877,1051
18,1771565294040835969,1034
19,1771565294040839670,3635
20,1771565294040840721,982
21,1771565294040841831,1056
22,1771565294040845617,3733
23,1771565294040847084,1398
24,1771565294040850784,3650
25,1771565294040851858,1005
26,1771565294040852776,864
27,1771565294040856532,3702
28,1771565294040857792,1192
29,1771565294040858805,963
30,1771565294040862535,3676
31,1771565294040863694,1087
32,1771565294040867188,3439
33,1771565294040868243,987
34,1771565294040869237,939
35,1771565294040872790,3499
36,1771565294040873751,889
37,1771565294040874946,1139
38,1771565294040878490,3491
39,1771565294040879451,893
40,1771565294040883154,3646
41,1771565294040884232,1010
42,1771565294040885302,1020
43,1771565294040888939,3575
44,1771565294040890014,1003
45,1771565294040891107,1040
46,1771565294040895197,4028
47,1771565294040896263,992
48,1771565294040899965,3653
49,1771565294040901203,1169
50,1771565294040902261,1006
51,1771565294040905946,3623
52,1771565294040907065,1051
53,1771565294040908170,1048
54,1771565294040911666,3447
55,1771565294040913447,1713
56,1771565294040917180,3673
57,1771565294040918267,1013
58,1771565294040919309,984
59,1771565294040922937,3572
60,1771565294040924024,1019
61,1771565294040925177,1096
62,1771565294040928818,3576
63,1771565294040929899,1012
64,1771565294040993274,63319
65,1771565294040994718,1336
66,1771565294040995775,1004
67,1771565294040999828,4000
68,1771565294041000939,1043
69,1771565294041009545,8546
70,1771565294041013674,4067
71,1771565294041014793,1033
72,1771565294041018878,4035
73,1771565294041020008,1058
74,1771565294041021094,1031
75,1771565294041025297,4140
76,1771565294041026372,1003
77,1771565294041027448,1023
78,1771565294041031245,3742
79,1771565294041032319,1003
80,1771565294041035912,3534
81,1771565294041037004,1020
82,1771565294041038020,960
83,1771565294041044168,6096
84,1771565294041045336,1093
85,1771565294041046331,931
86,1771565294041108008,61623
87,1771565294041109522,1429
88,1771565294041113494,3919
89,1771565294041114628,1061
90,1771565294041115620,936
91,1771565294041119297,3624
92,1771565294041120673,1303
93,1771565294041121757,1025
94,1771565294041125567,3756
95,1771565294041126992,1357
96,1771565294041130878,3830
97,1771565294041132014,1064
98,1771565294041133020,949
99,1771565294041136716,3643
100,1771565294041137799,1011
101,1771565294041138832,976
102,1771565294041142393,3511
103,1771565294041143484,1023
104,1771565294041146998,3462
105,1771565294041148106,1035
106,1771565294041149013,853
107,1771565294041152628,3561
108,1771565294041153691,991
109,1771565294041154821,1081
110,1771565294041159947,5072
111,1771565294041161436,1421
112,1771565294041165108,3606
113,1771565294041166100,920
114,1771565294041167115,961
115,1771565294041171028,3860
116,1771565294041172137,1040
117,1771565294041173304,1108
118,1771565294041176763,3410
119,1771565294041177875,1043
120,1771565294041181493,3563
121,1771565294041182555,994
122,1771565294041183716,1107
123,1771565294041187535,3756
124,1771565294041188502,899
125,1771565294041189570,1012
126,1771565294041193252,3631
127,1771565294041194474,1154
128,1771565294041198255,3731
129,1771565294041199345,1018
130,1771565294041200379,981
131,1771565294041203971,3538
132,1771565294041205080,1036
133,1771565294041206125,988
134,1771565294041209625,3447
135,1771565294041210696,999
136,1771565294041214280,3529
137,1771565294041215349,1001
138,1771565294041216415,1014
139,1771565294041219933,3464
140,1771565294041221109,1107
141,1771565294041222144,979
142,1771565294041225927,3733
143,1771565294041226962,963
144,1771565294041230649,3631
145,1771565294041231743,1022
146,1771565294041232867,1066
147,1771565294041236598,3665
148,1771565294041237674,1008
149,1771565294041238699,967
150,1771565294041242237,3487
151,1771565294041243338,1032
152,1771565294041246962,3567
153,1771565294041248048,1018
154,1771565294041249219,1118
155,1771565294041252807,3526
156,1771565294041253790,913
157,1771565294041254821,981
158,1771565294041258458,3575
159,1771565294041259548,1021
160,1771565294041263031,3430
161,1771565294041264414,1315
162,1771565294041265445,970
163,1771565294041269104,3606
164,1771565294041270177,1004
165,1771565294041271237,1008
166,1771565294041274754,3463
167,1771565294041276606,1784
168,1771565294041281025,4349
169,1771565294041282153,1053
170,1771565294041283178,970
171,1771565294041348448,60821
172,1771565294041349945,1404
173,1771565294041351024,1019
174,1771565294041355137,4064
175,1771565294041356127,916
176,1771565294041359643,3462
177,1771565294041360727,1016
178,1771565294041361771,990
179,1771565294041365702,3877
180,1771565294041366835,1064
181,1771565294041367855,963
182,1771565294041371518,3611
183,1771565294041372699,1113
184,1771565294041386025,13270
185,1771565294041387240,1142
186,1771565294041388324,1021
187,1771565294041392085,3701
188,1771565294041393242,1088
189,1771565294041394327,1029
190,1771565294041398048,3667
191,1771565294041399160,1043
192,1771565294041402772,3557
193,1771565294041403886,1046
194,1771565294041404906,966
195,1771565294041408760,3802
196,1771565294041409847,1015
197,1771565294041410853,952
198,1771565294041414382,3480
199,1771565294041415463,1013
200,1771565294041419051,3534
201,1771565294041420172,1049
202,1771565294041421146,926
203,1771565294041424579,3380
204,1771565294041425858,1211
205,1771565294041426866,956
206,1771565294041430570,3649
207,1771565294041431835,1191
208,1771565294041435423,3532
209,1771565294041436558,1067
210,1771565294041437725,1109
211,1771565294041441294,3503
212,1771565294041442362,1000
213,1771565294041443392,975
214,1771565294041446899,3458
215,1771565294041447974,1003
216,1771565294041451712,3682
217,1771565294041452722,938
218,1771565294041453682,903
219,1771565294041457208,3461
220,1771565294041458371,1094
221,1771565294041459308,885
222,1771565294041463244,3880
223,1771565294041464449,1137
224,1771565294041467737,3230
225,1771565294041468613,808
226,1771565294041469347,678
227,1771565294041472529,3133
228,1771565294041473389,788
229,1771565294041474119,677
230,1771565294041477381,3209
231,1771565294041478258,809
232,1771565294041481398,3083
233,1771565294041482297,826
234,1771565294041483036,685
235,1771565294041486360,3275
236,1771565294041487236,804
237,1771565294041487983,692
238,1771565294041491501,3464
239,1771565294041492541,967
240,1771565294041495999,3401
241,1771565294041496958,891
242,1771565294041507487,4724
243,1771565294041534578,4018
244,1771565294041596792,38130
245,1771565294041600820,3929
246,1771565294041617387,3910
247,1771565294041696830,55899
248,1771565294041698086,1159
249,1771565294041698944,809
250,1771565294041767113,43700
251,1771565294041768338,1147
252,1771565294041790574,4123
253,1771565294041875539,61900
254,1771565294041876852,1206
255,1771565294041881036,4124
256,1771565294041900482,3830
257,1771565294041986185,62139
258,1771565294041987493,1211
259,1771565294041988347,801
260,1771565294042011295,4466
261,1771565294042105321,62510
262,1771565294042106609,1203
263,1771565294042107471,801
264,1771565294042130645,4170
265,1771565294042215490,62762
266,1771565294042216765,1152
267,1771565294042220596,3782
268,1771565294042239160,3955
269,1771565294042320891,58682
270,1771565294042322142,1157
271,1771565294042327194,3915
272,1771565294042391254,40998
273,1771565294042392544,1195
274,1771565294042408752,4140
275,1771565294042485011,53699
276,1771565294042486361,1264
277,1771565294042487226,811
278,1771565294042554243,40595
279,1771565294042555525,1197
280,1771565294042573141,4068
281,1771565294042651589,55899
282,1771565294042652857,1172
283,1771565294042656709,3799
284,1771565294042715905,37606
285,1771565294042717084,1098
286,1771565294042737735,4126
287,1771565294042819585,59289
288,1771565294042823913,4115
289,1771565294042833623,4023
290,1771565294042904795,46603
291,1771565294042906181,1282
292,1771565294042917571,4773
293,1771565294042987199,47546
294,1771565294042988393,1106
295,1771565294042997873,3866
296,1771565294043120675,98719
297,1771565294043122549,1750
298,1771565294043127033,4427
299,1771565294043148778,4040
300,1771565294043236715,64357
301,1771565294043240955,4145
302,1771565294043241940,915
303,1771565294043261523,3968
304,1771565294043348462,63449
305,1771565294043349834,1262
306,1771565294043353620,3733
307,1771565294043370843,3838
308,1771565294043464108,63713
309,1771565294043468655,4452
310,1771565294043469639,908
311,1771565294043487648,3850
312,1771565294043576166,65259
313,1771565294043577481,1218
314,1771565294043578309,779
315,1771565294043599214,4483
316,1771565294043686501,64459
317,1771565294043690652,4065
318,1771565294043691623,895
319,1771565294043761679,45970
320,1771565294043765697,3930
321,1771565294043774616,3693
322,1771565294043852195,54324
323,1771565294043853457,1174
324,1771565294043854344,832
325,1771565294043934653,53859
326,1771565294043936062,1303
327,1771565294043945340,4115
328,1771565294044013722,45278
329,1771565294044014907,1087
330,1771565294044087598,63126
331,1771565294044088933,1249
332,1771565294044092805,3820
333,1771565294044111275,3816
334,1771565294044139695,3797
335,1771565294044228153,64416
336,1771565294044229455,1198
337,1771565294044233265,3757
338,1771565294044251615,3724
339,1771565294044334257,59075
340,1771565294044335611,1143
341,1771565294044345570,4064
342,1771565294044361492,3795
343,1771565294044441816,56762
344,1771565294044446003,4086
345,1771565294044454088,3892
346,1771565294044538788,54211
347,1771565294044543098,4224
348,1771565294044544050,877
349,1771565294044611340,40820
350,1771565294044615382,3956
351,1771565294044713017,87488
352,1771565294044717431,4312
353,1771565294044718364,855
354,1771565294044721990,3567
355,1771565294044739044,3928
356,1771565294044765969,3859
357,1771565294044836943,47921
358,1771565294044838130,1107
359,1771565294044848736,4519
360,1771565294044919091,46787
361,1771565294044923164,3990
362,1771565294044930626,3767
363,1771565294044999125,45449
364,1771565294045003710,4485
365,1771565294045018798,3954
366,1771565294045095933,53079
367,1771565294045097160,1137
368,1771565294045101518,3760
369,1771565294045164790,40211
370,1771565294045169160,4257
371,1771565294045183836,4024
372,1771565294045262133,55242
373,1771565294045263420,1201
374,1771565294045278642,4146
375,1771565294045355739,53038
376,1771565294045356981,1159
377,1771565294045361778,3696
378,1771565294045423020,37681
379,1771565294045427152,4035
380,1771565294045444643,3843
381,1771565294045525063,57353
382,1771565294045526337,1195
